Anime,Season,Anime Type,Episodes,Genres,Description,Characters,Recommendations
Hoshiai no Sora,Musim gugur 2019,TV,12,Drama sekolah,"Constantly outperformed by the girls' club, the boys' soft tennis club faces disbandment due to their poor skills and lack of positive results in matches. In desperate need of members, Toma Shinjou is looking to recruit capable players, but he fails to scout anyone. Enter Maki Katsuragi, a new transfer student who demonstrates great reflexes when he catches a stray cat in his classroom, instantly capturing Toma's attention. With his interest piqued, Toma ambitiously asks Maki to join the boys' team but is quickly rejected, as Maki doesn't wish to join any clubs. Toma refuses to back down and ends up persuading Maki—only under the condition that Toma will pay him for his participation and cover other club expenses. 

As Maki joins the team, his incredible form and quick learning allow him to immediately outshine the rest of the team. Although this gives rise to conflict among the boys, Maki challenges and pushes his fellow team members to not only keep up with his seemingly natural talent, but also drive them to devote themselves to the game they once neglected. 

This story focuses on the potential of the boys' soft tennis club and their discovery of their own capability, while also enduring personal hardships and dealing with the darker side of growing up in middle school.

[Written by MAL Rewrite]","Katsuragi, Maki; Shinjou, Touma ; Asuka, Yuu; Mitsue, Kanako; Tsukinose, Nao; Ameno, Itsuki; Soga, Tsubasa; Ouji, Arashi; Futsu, Rintarou; Takenouchi, Shingo","2.43: Seiin Koukou Danshi Volley-bu, Haikyuu!!, Kaze ga Tsuyoku Fuiteiru, Battery, Tsuki ga Kirei, Hanebado!, Araburu Kisetsu no Otome-domo yo., Ookiku Furikabutte, Re-Main, Baby Steps, Hourou Musuko, Kageki Shoujo!!, Kotarou wa Hitorigurashi, Tsurune: Kazemai Koukou Kyuudoubu, Mahou Shoujo Madoka★Magica, Major 2nd, Suki tte Ii na yo., Boku dake ga Inai Machi, Kono Oto Tomare!, Shigatsu wa Kimi no Uso, Oniisama e..."
Hataage! Kemono Michi,Musim gugur 2019,TV,12,"Komedi, Isekai, Shounen","Professional wrestler Genzou Shibata sports the body of a mountain, but beneath his hulking appearance is a man with an extreme affection for animals. Facing off his opponents in the ring as the legendary ""Animal Mask,"" Genzou wins the hearts of crowds everywhere with his iconic tiger persona.

During the bout for the title of World Champion against his greatest rival, the Macadamian Ogre, Genzou is suddenly summoned to a fantasy world by a princess. With her kingdom being threatened by a monster infestation, she pleads the wrestler for assistance—to which he answers by knocking her out with a German suplex! Escaping the castle and finding himself stranded in a mysterious land, Genzou decides to begin his career as a beast hunter to capture and befriend creatures far and wide. Joined by the wolf-girl Shigure, the dragon-girl Hanako, and the vampire Carmilla Vanstein, the professional wrestler pursues all kinds of dangerous requests for the sake of fulfilling his dream as a pet shop owner.

[Written by MAL Rewrite]","Shigure; Shibata, Genzou; Hiroyuki; Hanako; Edgardo Latis, Altena; Vanstein, Carmilla; Jeeg; Misha; Joannascore Adorian Uljika, Joanna; Celes","Kono Subarashii Sekai ni Shukufuku wo!, Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru, Choujin Koukousei-tachi wa Isekai demo Yoyuu de Ikinuku you desu!, Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?, Kami-tachi ni Hirowareta Otoko, Kinnikuman II Sei, Hatena☆Illusion, Isekai Maou to Shoukan Shoujo no Dorei Majutsu, Kanata no Astra, Radiant 2nd Season, Azur Lane, Ani ni Tsukeru Kusuri wa Nai! 3, Granblue Fantasy The Animation Season 2, Hoshiai no Sora"
No Guns Life,Musim gugur 2019,TV,12,"Aksi, Seinen","The technology to create powerful cyborg soldiers has been released for public use by the Berühren Corporation. Those outfitted with robotic parts are known as the Extended. Juuzou Inui, one such Extended, was created as a soldier and has no memories of his former life. But now, after the war, he runs a business that takes care of Extended-related incidents around the city. 

Rumors of a renegade Extended that kidnapped a child reach his ears; lo and behold, as Juuzo returns to his office,  a giant robotic man with a boy on his back crashes in, asking for help. While Juuzou could just turn the guy in and be done with it, something about this situation is too fishy to ignore. It seems that everyone wants hold of this kid and, whether he likes it or not, Juuzou must find out why this Extended is on the run, how it connects to the Berühren Corporation, and just how far the treachery runs in this city.

[Written by MAL Rewrite]","Inui, Juuzou; Steinberg, Mary; Arahabaki, Tetsurou; Pepper; Gosling, Scarlet; Tokisada, Mega-armed; Vandeberme, Olivier; von Wolf, Cronen; Colt; Saryshagan","Dorohedoro, Gangsta., Cyberpunk: Edgerunners, Koukaku Kidoutai: Stand Alone Complex, Koukaku Kidoutai, B: The Beginning, Akudama Drive, Texhnolyze, Gintama, Soukou Kihei Votoms, Dimension W, Fullmetal Alchemist: Brotherhood, Karakuri Circus, Maou-sama, Retry!, Sewayaki Kitsune no Senko-san, Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note"
"Watashi, Nouryoku wa Heikinchi de tte Itta yo ne!",Musim gugur 2019,TV,12,"Komedi, Isekai","Having stood out from others most of her life due to her exceptional character, Misato Kurihara has lived without neither the joy of having close friends nor the experience of having a regular life. However, after a sudden death, she was transported to a divine realm to be reincarnated—and granted one wish to top it off. Thinking about the ordinary life that she had always wanted, she wished to be born as a normal person, with abilities that are average for the world she will resurrect in.

Reborn as Adele von Ascham—the daughter of a noble—she possesses magic powers completely exceeding what one would label average. Still desiring to carry out the life she wanted, she leaves her home and enrolls at a hunter school in a faraway kingdom using ""Mile"" as an alias. However, try as she might to hide her overpowering potential, attaining her goal will be difficult—especially when facing against the crazy situations that ensue!

[Written by MAL Rewrite]","von Ascham, Adele; Reina; von Austien, Mavis; Pauline; Nano; Lenny; Marcela; Arledy; Oriana; Monica","Endro~!, Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu., Kuma Kuma Kuma Bear, Kenja no Mago, Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita, Kono Subarashii Sekai ni Shukufuku wo!, Shijou Saikyou no Daimaou, Murabito A ni Tensei suru, Shikkakumon no Saikyou Kenja, Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore, Scrapped Princess, Tensei shitara Slime Datta Ken, Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru, Hachi-nan tte, Sore wa Nai deshou!, Mairimashita! Iruma-kun, Jashin-chan Dropkick, Saiki Kusuo no Ψ-nan, Knight's & Magic, Hatena☆Illusion, Toaru Kagaku no Accelerator, Tate no Yuusha no Nariagari, Nekopara"
Azur Lane,Musim gugur 2019,TV,12,"Aksi, Antropomorfik","When the ""Sirens,"" an alien force with an arsenal far surpassing the limits of current technology, suddenly appeared, a divided humanity stood in complete solidarity for the first time. Four countries—Eagle Union, Royal Navy, Sakura Empire, and Iron Blood—formed Azur Lane, paving the way for the improvement of modern warfare, which led to an initial victory against the common threat. However, this tenuous union was threatened by opposing ideals, dividing the alliance into two. Sakura Empire and Iron Blood broke away and formed the Red Axis, and humanity became fragmented once again.

As a seasoned and experienced fighter, the ""Grey Ghost"" Enterprise shoulders Azur Lane's hope for ending the war. But behind her stoic persona hides a frail girl, afraid of the ocean. Even so, she continues to fight as she believes that it's the only purpose for her existence. Meanwhile, Javelin, Laffey, and Unicorn—three ships from the union—stumble upon Ayanami, a spy from the Red Axis. Strange as it may seem, they try to befriend her, but as enemies, their efforts are for naught. Still, they persevere in hopes of succeeding one day.

Amidst the neverending conflict within humankind, the keys that could unite a fragmented race might exist: a soldier coming to terms with her mysterious personality and camaraderie between those with different ideals.

[Written by MAL Rewrite]",Enterprise; Laffey; Belfast; Akagi; Kaga; Prinz Eugen; Atago; Ayanami; Z23; Cleveland,"Kantai Collection: KanColle, Assault Lily: Bouquet, Dolls' Frontline, Girls & Panzer, Senki Zesshou Symphogear, High School Fleet, Subarashiki Kono Sekai The Animation, Onigiri, Gintama, Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu., Aoki Hagane no Arpeggio: Ars Nova, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II, Psycho-Pass 3, Kanata no Astra"
Kono Oto Tomare! Part 2,Musim gugur 2019,TV,13,"Drama, Musik, Shounen","The Tokise High School Koto Club has courageously pushed through their fractured and unsynchronized performance at the Kanto Region Traditional Japanese Music Festival. Club members Chika Kudou, Satowa Houzuki, Takezou Kurata, Hiro Kurusu, Kouta Mizuhara, Saneyasu Adachi, and Michitaka Sakai are devastated to learn the negative results of their performance, leaving them crushed. Nonetheless, the group recognizes their potential and enthusiastically agree to collectively sharpen their skills, improve their flaws, and develop higher caliber playing to succeed in the upcoming national qualifiers in winter.

With the help of their now willing club advisor Suzuka Takinami, the group's goal gradually becomes achievable as they begin to grasp the foundations of good music and refine their koto-playing abilities, with the suggestion of performing more often to gain what they lack most—experience.

However, as their journey to nationals is underway, the koto club members face challenges that obstruct their focus and progress. Not only does the threat of other powerhouse schools and musicians remain, but the high school issues of budding romance and soon-to-be-graduating seniors also begin to push the limits of the determined group of teenagers and the future of the koto club.

[Written by MAL Rewrite]","Kudou, Chika; Houzuki, Satowa; Kurusu, Hiro; Kurata, Takezou; Takinami, Suzuka; Mizuhara, Kouta; Adachi, Saneyasu; Sakai, Michitaka; Takaoka, Tetsuki; Doujima, Akira","Mashiro no Oto, Chihayafuru 3, Shigatsu wa Kimi no Uso, Ballroom e Youkoso, Chihayafuru 2, Fruits Basket 1st Season, Runway de Waratte, Tsuki ga Kirei, Kandagawa Jet Girls, Hataage! Kemono Michi, Meiji Tokyo Renka, Piano no Mori (TV) 2nd Season, Rifle Is Beautiful, Granblue Fantasy The Animation Season 2, Ahiru no Sora, Babylon"
Babylon,Musim gugur 2019,TV,12,"Misteri, Psikologis","In the newly formed Shiniki district of Tokyo, Zen Seizaki is a diligent public prosecutor at the Tokyo District Public Prosecutors Office. Assigned to a case involving false advertisement, Zen—along with his assistant officer, Atsuhiko Fumio—investigate Japan Supiri, a pharmaceutical company that had provided fabricated clinical research on the company's new drug. While investigating the file of Shin Inaba, an anesthesiologist connected to the crime, the case takes a dark turn when Zen finds a page stained with a mixture of blood, hair and skin, along with the letter ""F"" scribbled all across the sheet. As he investigates further, the case goes beyond Zen's imagination and becomes vastly complex, challenging his sense of justice and his knowledge of the truth. 

Digging deeper into the investigation, Zen begins to uncover a concealed plot behind the ongoing mayoral election and ties to many people of interest involved in the election and those closer than he thinks. The case grows more severe and propels Zen into an unforeseen hurricane of corruption and deceit behind the election, the establishment of the Shiniki district, and the mysterious woman associated with it all. 

[Written by MAL Rewrite]","Magase, Ai; Seizaki, Zen ; Kujiin, Shinobu; Sekuro, Hiasa; Fumio, Atsuhiko; Itsuki, Kaika; Wood, Alexander W.; Hanta, Ariyoshi; Morinaga, Yasutaka; Tsutsui","Monster, Psycho-Pass, Harmony, Subete ga F ni Naru, Id:Invaded, Seikaisuru Kado, Death Note, Another, Yuukoku no Moriarty Part 2, Kubikiri Cycle: Aoiro Savant to Zaregototsukai, Zankyou no Terror, Yuukoku no Moriarty, Sonny Boy, Psycho-Pass 2, Hakata Tonkotsu Ramens, Higashi no Eden, Code Geass: Hangyaku no Lelouch, Pet, Mirai Nikki (TV), Black Fox, Appare-Ranman!, Dr. Stone, Gleipnir, Yesterday wo Utatte"
Chihayafuru 3,Musim gugur 2019,TV,24,"Drama, Poligon Cinta, Josei","Winning the high school team tournament was a great accomplishment for the Mizusawa members. Each of them has made great strides in improving themselves, and the victory symbolizes how far they've come. But after accomplishing one goal, their individual aims are within reach. Chihaya Ayase has her sights set on Shinobu Wakamiya and the title of Queen, and now that Taichi Mashima has made it into Class A, he can finally compete against Arata Wataya. Everyone in Mizusawa wants to get better, and there's no telling what the future holds if they keep trying.

[Written by MAL Rewrite]","Ayase, Chihaya; Mashima, Taichi; Wataya, Arata; Wakamiya, Shinobu; Ooe, Kanade; Suou, Hisashi; Harada, Hideo; Sudou, Akito; Komano, Tsutomu; Sakurazawa, Midori","3-gatsu no Lion, Kono Oto Tomare! Part 2, Fukumenkei Noise, , Kaze ga Tsuyoku Fuiteiru, Housekishou Richard-shi no Nazo Kantei, Shokugeki no Souma: Gou no Sara, Chihayafuru 3: Ima Hitotabi no, Fruits Basket 2nd Season, Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen, Boku no Hero Academia 4th Season, Arte, Darwin's Game, Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou, Oshi ga Budoukan Ittekuretara Shinu, Somali to Mori no Kamisama"
High Score Girl II,Musim gugur 2019,TV,9,"Komedi, Poligon Cinta, Seinen","The year is 1996, and second-year high school students Haruo Yaguchi, Akira Oono, and Koharu Hidaka live their lives as passionately about video games as they were five years ago. Brought together by arcade games, what began as a healthy rivalry and friendship has turned into something more. As they endeavour towards understanding their unfamiliar feelings, they work with allies, navigate high school, and find that, although life has its many challenges, there's always a game or two they can rely on.

[Written by MAL Rewrite]","Oono, Akira; Hidaka, Koharu; Yaguchi, Haruo; Yaguchi, Namie; Oono, Makoto; Jiiya; Miyao, Koutarou; Guile; Doi, Genta; Gouda, Moemi","Ore no Imouto ga Konnani Kawaii Wake ga Nai, High Score Girl, Kakushigoto, Kono Oto Tomare! Part 2, 5-toubun no Hanayome, Sounan Desu ka?, Kakegurui××, Mairimashita! Iruma-kun, Heya Camp△, Carole & Tuesday, Karakai Jouzu no Takagi-san 2, Isekai Quartet 2, , Id:Invaded, Keishichou Tokumubu Tokushu Kyouakuhan Taisakushitsu Dainanaka: Tokunana, Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai"
Radiant 2nd Season,Musim gugur 2019,TV,21,Aksi,"After fleeing from Rumble Town, Seth, Doc and Melie are back at the Artemis Institute. Thanks to Alma, Seth learns more about Piodon, his mysterious brother. But the quest for the Nemeses mythical nest Radiant has already waited too long, so the Horned Boy and his friends head to the island-continent of the Wizard Knights.

This location may be a new city for audiences, but it's a decaying world that's falling apart! Not only must Seth deal with these hardships, but he must also face a personal phenomenon where visions are invading his mind a little more each day.

(Source: monstersandcritics)","Melie; Seth; Doc; Grimm; Dragunov, Dart; Ocoho; Alma; Queen Boudica; Mister Bobley; Jill","Senkaiden Houshin Engi, Blue Dragon, Ao no Exorcist, Hunter x Hunter (2011), Black Clover, One Piece, Stand My Heroes: Piece of Truth, Radiant, Somali to Mori no Kamisama, Psycho-Pass 3, Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II, Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki Desu ka?, Pet, Id:Invaded, Toaru Majutsu no Index III, Nakanohito Genome [Jikkyouchuu]"
